Date,Close
2/9/23,19.42
2/8/23,20.08
2/7/23,19.91
2/6/23,20.22
2/3/23,19.9
2/2/23,20.88
2/1/23,19.71
1/31/23,19.4
1/30/23,18.04
1/27/23,19.83
1/26/23,18.31
1/25/23,18.69
1/24/23,18.05
1/23/23,18.1
1/20/23,16.23
1/19/23,15.79
1/18/23,16.5
1/17/23,16.93
1/13/23,16.45
1/12/23,17.58
1/11/23,17.08
1/10/23,16.45
1/9/23,16.62
1/6/23,16.4
1/5/23,16.56
1/4/23,17.71
1/3/23,17.34
12/30/22,18.43
12/29/22,18.73
12/28/22,17.74
12/27/22,17.74
12/23/22,19.14
12/22/22,19.73
12/21/22,21.03
12/20/22,21.4
12/19/22,22.03
12/16/22,22.48
12/15/22,23.97
12/14/22,24.54
12/13/22,24.96
12/12/22,25.61
12/9/22,27.29
12/8/22,28.58
12/7/22,27.94
12/6/22,27.89
12/5/22,29.53
12/2/22,31.36
12/1/22,31.48
11/30/22,32.04
11/29/22,28.85
11/28/22,28.64
11/25/22,29.53
11/23/22,29.71
11/22/22,28.94
11/21/22,28.42
11/18/22,30.34
11/17/22,32.07
11/16/22,33.32
11/15/22,35.15
11/14/22,34.38
11/11/22,34.9
11/10/22,32.96
11/9/22,28.07
11/8/22,31.85
11/7/22,31.32
11/4/22,31.99
11/3/22,32.24
11/2/22,31.52
11/1/22,33.48
10/31/22,34.97
10/28/22,34.48
10/27/22,34.5
10/26/22,34.44
10/25/22,34.49
10/24/22,31.34
10/21/22,31.92
10/20/22,30.73
10/19/22,31.5
10/18/22,31.64
10/17/22,30.7
10/14/22,28.71
10/13/22,32.5
10/12/22,32.35
10/11/22,32.33
10/10/22,31.48
10/7/22,33.95
10/6/22,36.76
10/5/22,36.13
10/4/22,36.3
10/3/22,31.89
9/30/22,32.91
9/29/22,32.31
9/28/22,35.08
9/27/22,33.79
9/26/22,33.85
9/23/22,33.56
9/22/22,33.33
9/21/22,35.1
9/20/22,35.75
9/19/22,37.94
9/16/22,39.26
9/15/22,39.69
9/14/22,40.1
9/13/22,38.76
9/12/22,38.74
9/9/22,37.55
9/8/22,36.88
9/7/22,33.25
9/6/22,33.22
9/2/22,32.07
9/1/22,31.95
8/31/22,32.71
8/30/22,31.89
8/29/22,32.31
8/26/22,32.11
8/25/22,32.9
8/24/22,32.56
8/23/22,32.21
8/22/22,33.06
8/19/22,34.45
8/18/22,35.9
8/17/22,36.42
8/16/22,38.23
8/15/22,37.28
8/12/22,38.9
8/11/22,38.95
8/10/22,37.4
8/9/22,36.7
8/8/22,38.09
8/5/22,35.67
8/4/22,36.18
8/3/22,36.59
8/2/22,35.01
8/1/22,34.81
7/29/22,34.3
7/28/22,33.85
7/27/22,32.01
7/26/22,31.69
7/25/22,32.17
7/22/22,32.48
7/21/22,34.13
7/20/22,32.74
7/19/22,31.71
7/18/22,31.8
7/15/22,31.6
7/14/22,30.83
7/13/22,30.76
7/12/22,30.15
7/11/22,29.93
7/8/22,31.99
7/7/22,31.63
7/6/22,29.66
7/5/22,26.86
7/1/22,25.7
6/30/22,25.74
6/29/22,26.27
6/28/22,26.99
6/27/22,28.44
6/24/22,29.5
6/23/22,29.47
6/22/22,28.56
6/21/22,29.07
6/17/22,26.24
6/16/22,26.42
6/15/22,29.08
6/14/22,27.3
6/13/22,26.81
6/10/22,28.36
6/9/22,28.87
6/8/22,29.8
6/7/22,29.72
6/6/22,28.98
6/3/22,30.19
6/2/22,31.94
6/1/22,30.25
5/31/22,31.4
5/27/22,30.96
5/26/22,29.23
5/25/22,27.25
5/24/22,26.53
5/23/22,27.99
5/20/22,28.92
5/19/22,29.61
5/18/22,27.29
5/17/22,27.49
5/16/22,24.86
