id,date,city,state,type,ideology,subideology,group,description,image
51315,7/28/2023,Erie,PA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""Life of our nation, liberty of our people, victory of the American spirit,"" ""United we stand"" and ""For the nation, against the state.""",
51412,7/28/2023,Rutland,VT,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""For the nation, against the state,"" ""Not stolen, conquered,"" ""Life of our nation, liberty of our people, victory of the American spirit"" and """,
51430,7/28/2023,Caroline County,VA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""Better dead than red,"" ""One nation, against invasion,"" ""America is not for sale"" and ""Not stolen, conquered.""",
48012,7/27/2023,Albany,OR,Anti-LGBTQ+ Incident:Harassment;Antisemitic Incident:Harassment;White Supremacist Propaganda,Right Wing (White Supremacist),,,"Individuals distributed anti-LGBTQ+, antisemitic and Islamophobic fliers to cars in a local Target parking lot.",
48099,7/27/2023,Austin,MN,Anti-LGBTQ+ Incident:Harassment,,,,"Approximately 15 individuals protested a drag queen story hour at a public library where they held signs reading ""Don't drag our kids into your sin"" and ""Little kids can get their minds warped by reading this stuff to them.""",
48136,7/27/2023,Bel Air,MD,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""Confronting the Anti-White System.""",
48139,7/27/2023,Belchertown,MA,White Supremacist Propaganda,Right Wing (White Supremacist),,Bay State Active Club,"Bay State Active Club, a white supremacist group, distributed propaganda that read: ""White Unity"" and advertised a white supremacist website.",
48489,7/27/2023,Crossville,TN,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers promoting their group. ",
48551,7/27/2023,Des Moines,IA,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""White Unity"" and ""Our nation our duty.""",
48574,7/27/2023,Durand,MI,White Supremacist Propaganda,Right Wing (White Supremacist),,White Lives Matter (WLM),"White Lives Matter, a white supremacist group, distributed propaganda that read: ""White Unity.""",
48629,7/27/2023,Evanston,IL,Anti-LGBTQ+ Incident:Vandalism,,,,"An individual vandalized multiple Pride flags on public streets by writing ""Pride Death"" on each of the flags and burning another.",
48946,7/27/2023,Knoxville,TN,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""Our nation our duty.""",
49048,7/27/2023,Los Gatos,CA,Anti-LGBTQ+ Incident:Harassment,,,,"Approximately three individuals protested a drag queen story hour a public library, where one individual attempted to disrupt the event by entering the library with signs reading ""Trans - it's not all it's cut up to be."" Police escorted the individual out of the library, where he then continued his protest outside with two others.",
49139,7/27/2023,Medford,OR,White Supremacist Event,Right Wing (White Supremacist),,"Active Clubs,Rose City Nationalists","Approximately six individuals associated with Rose City Nationalists and Southern Oregon Nationalists, both white supremacist groups, held a joint meet up and banner drop. The banners read: ""Free Rob Rundo"" and ""Wake Up White Man.""",
49380,7/27/2023,Ontario,CA,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""White Unity"" and ""Our nation our duty.""",
49962,7/27/2023,Waverly,TN,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""The Way to Victory, White Solidarity"" and promoted their group. ",
51374,7/27/2023,Bedford,TX,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""American spirit, European blood,"" ""Revolution is our tradition,"" ""Reclaim America"" and ""Life, liberty, victory.""",
48020,7/26/2023,Alexandria,LA,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""Confronting the Anti-White System.""",
48035,7/26/2023,Amsterdam,NY,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""Confronting the Anti-White System.""",
48098,7/26/2023,Austin,TX,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers thar read: ""Justice Report: News too real for Twitter,"" ""Confronting the Anti-White System"" and ""White Unity.""",
48178,7/26/2023,Bloomfield Hills,MI,Anti-LGBTQ+ Incident:Harassment;Antisemitic Incident:Harassment,,,,"Multiple staff members of Jewish organizations in the Bloomfield area received another antisemitic and anti-LGBTQ+ email claiming that Jewish charities are exploiting children under the guise of the ""LGBTQ+ Agenda.""",
48224,7/26/2023,Brighton,UT,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""Confronting the Anti-White System.""",
48587,7/26/2023,East Rochester,NY,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted fliers promoting their organization. ",
48641,7/26/2023,Fairview,NY,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""The Way to Victory, White Solidarity"" and ""Our nation our duty"" at Dutchess Community College.",
48949,7/26/2023,La Jolla,CA,Antisemitic Incident:Harassment;White Supremacist Propaganda,Right Wing (White Supremacist),,Goyim Defense League (GDL),Individuals associated with the antisemitic Goyim Defense League distributed antisemitic propaganda around a residential area.,
48974,7/26/2023,Land O Lakes,WI,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted fliers promoting their group. ",
49223,7/26/2023,Mt. Sidney,VA,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""The Way to Victory, White Solidarity.""",
49275,7/26/2023,New Ulm,MN,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""White Unity.""",
49472,7/26/2023,Pittsford,NY,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""Our nation our duty"" and ""The Way to Victory, White Solidarity."" ",
49553,7/26/2023,Radford,VA,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers with a link to their website. ",
